,ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
130,LU1250154413,ADJ,ADO PROPERTIES S.A. NPV,Common stock,EUR,2506119,2018-10-10,15:00,49.22,49.22,49.22,49.22,1,1
131,DE0005408116,ARL,AAREAL BANK AG,Common stock,EUR,2504927,2018-10-10,15:00,35.69,35.69,35.68,35.68,342,3
132,DE0007314007,HDD,HEIDELBERG.DRUCKMA.O.N.,Common stock,EUR,2505096,2018-10-10,15:00,2.24,2.24,2.238,2.238,1743,4
133,DE0005557508,DTE,DT.TELEKOM AG NA,Common stock,EUR,2504954,2018-10-10,15:00,14.31,14.315,14.305,14.305,36359,28
134,DE0005550636,DRW3,DRAEGERWERK VZO O.N.,Common stock,EUR,2504952,2018-10-10,15:00,50.4,50.4,50.4,50.4,78,1
135,DE0006969603,PUM,PUMA SE,Common stock,EUR,2505067,2018-10-10,15:00,416.5,416.5,416.0,416.0,216,6
136,NL0012169213,QIA,"QIAGEN NV         EO -,01",Common stock,EUR,2506272,2018-10-10,15:00,30.49,30.49,30.47,30.48,2782,7
137,DE000A1TNV91,ADE,BITCOIN GROUP SE  O.N.,Common stock,EUR,2504520,2018-10-10,15:00,27.84,27.98,27.54,27.54,163,4
138,DE0005895403,GMM,GRAMMER AG O.N.,Common stock,EUR,2504985,2018-10-10,15:00,41.3,41.32,41.3,41.32,125,4
139,DE0006289390,EXI3,IS.DJ INDUST.AVERAG.U.ETF,ETF,EUR,2505030,2018-10-10,15:00,225.1,225.1,225.1,225.1,34,1
140,DE000ETN0057,X00E,COMMERZBANK ETN UNL.,ETN,EUR,2504738,2018-10-10,15:00,34.676,34.676,34.676,34.676,300,1
141,DE0005933972,EXS2,ISHARES TECDAX UCITS ETF,ETF,EUR,2504991,2018-10-10,15:00,23.53,23.53,23.525,23.525,10692,4
142,LU0838782315,XDDX,XTR.DAX INCOME 1D,ETF,EUR,2504277,2018-10-10,15:00,101.06,101.06,101.0,101.0,274,3
143,LU0659579220,XBAN,XTR.MSCI BANGL.SWAP 1CDL,ETF,EUR,2506042,2018-10-10,15:00,0.87,0.8701,0.87,0.8701,8977,3
144,DE0006292030,KSB3,KSB SE+CO.KGAA VZO O.N.,Common stock,EUR,2505036,2018-10-10,15:00,289.0,289.0,286.0,286.0,212,5
145,LU0411078636,DBPK,XTR.S+P500 2XINV.D.SW. 1C,ETF,EUR,2505939,2018-10-10,15:00,1.5546,1.5546,1.5546,1.5546,99,1
146,DE000A1X3X33,WCMK,WCM BET.GRD.AG  O.N.,Common stock,EUR,2504533,2018-10-10,15:00,3.85,3.85,3.85,3.85,25,1
147,LU1296758029,CCAP,CORESTATE CAPITAL HLDG,Common stock,EUR,2506149,2018-10-10,15:00,36.35,36.4,36.35,36.4,103,2
148,DE000WCH8881,WCH,WACKER CHEMIE        O.N.,Common stock,EUR,2504860,2018-10-10,15:00,99.3,99.3,99.3,99.3,7,1
149,DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.,Common stock,EUR,2504512,2018-10-10,15:00,61.56,61.56,61.52,61.54,1506,19
150,DE0006335003,KRN,KRONES AG O.N.,Common stock,EUR,2505038,2018-10-10,15:00,86.1,86.1,86.0,86.0,100,2
151,DE0005785604,FRE,FRESENIUS SE+CO.KGAA O.N.,Common stock,EUR,2504973,2018-10-10,15:00,67.84,67.84,67.74,67.76,4583,20
152,IE00B4L5Y983,EUNL,ISHSIII-CORE MSCI WLD DLA,ETF,EUR,2505656,2018-10-10,15:00,48.055,48.055,48.055,48.055,39,1
153,DE000SHA0159,SHA,SCHAEFFLER AG INH. VZO,Common stock,EUR,2504849,2018-10-10,15:00,9.984,9.984,9.976,9.976,3137,8
154,DE0006048408,HEN,HENKEL AG+CO.KGAA ST O.N.,Common stock,EUR,2505003,2018-10-10,15:00,85.35,85.35,85.35,85.35,155,1
155,US67066G1040,NVD,"NVIDIA CORP.      DL-,001",Common stock,EUR,2506544,2018-10-10,15:00,220.26,220.26,220.26,220.26,20,1
156,DE0008404005,ALV,ALLIANZ SE NA O.N.,Common stock,EUR,2505133,2018-10-10,15:00,189.0,189.02,188.76,188.8,3194,38
157,DE0008232125,LHA,LUFTHANSA AG VNA O.N.,Common stock,EUR,2505130,2018-10-10,15:00,19.345,19.345,19.33,19.33,4047,13
158,DE0006231004,IFX,INFINEON TECH.AG NA O.N.,Common stock,EUR,2505024,2018-10-10,15:00,18.435,18.435,18.41,18.42,70017,52
159,DE0005909006,GBF,BILFINGER SE O.N.,Common stock,EUR,2504986,2018-10-10,15:00,37.32,37.34,37.32,37.34,1478,10
160,LU0380865021,DXET,XTR.EURO STOXX 50 1C,ETF,EUR,2506406,2018-10-10,15:00,46.72,46.72,46.72,46.72,1229,1
161,IE00B1YZSC51,IQQY,ISHSII-MSCI EUROPE EODIS,ETF,EUR,2505598,2018-10-10,15:00,23.03,23.03,23.03,23.03,293,1
162,DE000A1DAHH0,BNR,BRENNTAG AG NA O.N.,Common stock,EUR,2504453,2018-10-10,15:00,48.6,48.6,48.58,48.59,3191,15
163,IE0008471009,EUN2,ISHSII-EURO STOXX50 EODIS,ETF,EUR,2506399,2018-10-10,15:00,33.255,33.255,33.255,33.255,3000,1
164,DE000STRA555,SBS,STRATEC BIOMEDICAL  NA ON,Common stock,EUR,2504851,2018-10-10,15:00,50.9,50.9,50.9,50.9,12,1
